EOS2-20ms-4000f001_MIA-Filter-10pt.trc 
frametime: 0.02 s
pixelsize: 0.16 micron
minpointMSD: 10
pourcentage_trajectory: 60
number length(frame) intersect_MSD(um^2) Dinst(micron^2/s)  D(micron^2/s)   V(micron/s) r2/t(um2/s) R-square(D,V)   adjusted_R-square(D,V)  Vseul   R-square(Vseul) adjusted_R-square(Vseul)    Dseul R-square(Dseul)   adjusted_R-square(Dseul)  a2   A2 b alpha R-square-alpha 
1109             19    0.012025795     0.16658798    0.063827691      2.0882793     0.89933983     0.99939646     0.99932941       2.365203     0.99858508     0.99848401     0.26834461     0.99020684     0.98950733   0.0035259563     0.98599511      1.7972668       1.287931     0.99593198
1201             30   0.0089567683     0.44825724    0.070355453      3.8411845      7.2429753     0.99997989     0.99997855      3.9756139     0.99994616     0.99994382     0.84691552     0.99475519     0.99452716  0.00013037999     0.99947862      12.150017      1.7909975     0.99982841
1236             34     0.01627814    0.031961226   -0.008343607      1.2215711      1.0263714     0.99872863     0.99865528      1.1841107     0.99858498     0.99853159      0.1184006     0.96253781     0.96112414    0.003339906     0.98672917     0.87018739      1.5047327     0.98558827
1420             23    0.024580532     0.19920439     0.15133276 3.1204632e-005     0.30099587     0.93996671     0.93450914      1.4279191      0.8394734     0.83003065      0.1513427     0.93996671     0.93643534    0.083013134     0.71690033     0.42684567     0.66984853      0.9581433
1492             20    0.044781976     0.25614995     0.10353872 2.6888376e-005      1.1082559     0.77703989      0.7531513      1.1622821     0.58058727     0.55166226      0.1035289     0.77703988     0.76166332     0.75460229    0.019560666     0.24801713     0.42384266     0.89119145
1507             17    0.014071544     0.77418147       0.130246      5.0150446       6.357163     0.99985906     0.99984068      5.3015878     0.99966871      0.9996411      1.1288877     0.98744425     0.98639794   0.0017298594     0.99310444       16.13372      1.6818665     0.99906492
1606             22  -0.0033340504     0.56801189     0.36428123 1.4954641e-005     0.71596418     0.96599125     0.96280293      2.3687479     0.90151226     0.89554331     0.36428713     0.96599125     0.96393011     0.15641595     0.53214328      1.2283304     0.92263246     0.96726639
1630             18   0.0034465653     0.60529471      0.4374917 6.4410905e-006     0.46530216     0.98981959     0.98859794      2.8222369     0.94492827     0.94069198     0.43748872     0.98981959     0.98903648     0.10962256     0.64386934      1.4961111     0.91491556     0.99156742
1650             25    0.022496255     0.38620948     0.30280441 1.1874318e-006      0.3079838     0.99468583     0.99425495       2.047691       0.951682     0.94913895     0.30280926     0.99468583     0.99440614     0.17917372      0.4845593     0.95036029     0.78853411     0.99751732
1654             21  -0.0047548394     0.13876944     0.11144531      1.1766841     0.58516733     0.99951224     0.99946347      1.8089412     0.99677538     0.99656734     0.18441898     0.99819752     0.99808123   0.0013534222     0.99460094      1.4037227      1.4265447     0.99963403
1696             17    0.014970021      0.4811745     0.37436233      2.9225509      3.0849485       0.998138     0.99789513       4.017102     0.99316072     0.99259078     0.75210591      0.9924913     0.99186558   0.0076879477     0.96971565      4.4251129      1.2136659     0.99604062
1752             24    0.011382335    0.033995541   0.0081682458 4.5252896e-005   0.0064919974     0.55941465     0.52165019     0.32276948     0.49598409     0.46798321   0.0081667779     0.55941325     0.53493621    0.076093181     0.73715122    0.026382761     0.23245486     0.62193254
1791             20    0.026218494      1.2064465     0.60265135 1.7740383e-005      6.7681162     0.97177339     0.96874911      2.9637577     0.92834884     0.92340738     0.60265565     0.97177339     0.96982673   0.0087008911     0.96579427      1.8664201     0.81172306     0.97864294
1815             26   0.0093709861      0.7221294     0.13452148      4.2271655      10.666763      0.9997767     0.99975907      4.4680569     0.99957438     0.99955256      1.1804317     0.98636265      0.9856633  0.00017527145     0.99929916      15.403376      1.8047231     0.99930517
1920             19   -0.016750349     0.66176617     0.30528979      3.8431967      4.5586233     0.99988353     0.99987059      4.5622997     0.99918016      0.9991216     0.99343418     0.99600939     0.99572435   0.0044509996     0.98235344      12.954941      1.7145495     0.99990658
2079             17  -0.0023767552     0.48275648     0.24788963       3.222481      1.1176977     0.99972203     0.99968577      4.0778346     0.99812723     0.99797117     0.61391168     0.99580527     0.99545571   0.0045562637     0.98193989      6.3509415      1.4861095     0.99936192
2357             31    0.017286713   0.0038172494   -0.010274456     0.33768759    0.053928822     0.32003341     0.27663129     0.13586339     0.20927649     0.17632968   0.0013417076     0.17064829     0.13609196     0.63089159    0.051222137    0.015433961    0.022374074      0.1403046
2376             17   0.0020895862    0.014672566    0.010540437 1.9268282e-006   0.0064712752     0.96634069     0.96195035     0.44818723     0.90715449     0.89941737    0.010539693     0.96633824     0.96353309    0.079803502     0.72622582    0.024358976     0.55413405     0.98361165
2401             22    0.036363943     0.38021059     0.24337487 3.6534087e-006     0.44778363     0.93748295     0.93162198      1.8429907     0.84159612     0.83199589     0.24338205     0.93748295     0.93369404     0.03018732     0.88622361     0.62865979     0.63888617     0.96116112
2466             25    -0.01039627     0.74034175     0.28264916      4.3322646      10.105459     0.99999128     0.99999057      4.8062889     0.99943884      0.9994093      1.3975179     0.99054877     0.99005133   0.0069620232     0.97253565       16.30791      1.7470651     0.99997191
2518             20   -0.012726866     0.47167912     0.28049464      2.8379009      4.9577795       0.999672     0.99963686      3.6150097     0.99706129     0.99685862     0.68543816     0.99361772     0.99317757    0.019328499     0.92559026      6.6532834      1.5638673     0.99984759
2519             17    0.060287859     0.71895353      0.1613482 2.4609017e-005     0.20196471     0.79179923      0.7646426      1.6638789     0.70144013     0.67656014     0.16135637     0.79179923     0.77444916     0.76285391    0.018096695     0.35544775     0.41313043     0.84774166
2618             21    0.041688623       0.532534     0.30089229 3.5676781e-005      2.6169599     0.94179192     0.93597112      2.0227195     0.86394486     0.85516711      0.3009044     0.94179192     0.93803656    0.091210564     0.69360053     0.79922501     0.64755077      0.9650216
2654             17    0.043701014      0.9296005     0.68914829 7.0041742e-006      2.4437339     0.97820667     0.97536407      3.5279857     0.94379473     0.93911095      0.6891572     0.97820667     0.97639056     0.27243676     0.32694077      1.9920104     0.76529044     0.98394156
2656             52    0.011138592    0.018056316   0.0097684835  0.00013570392    0.046726474      0.8162722     0.80955045     0.22922459     0.64784589     0.63936025   0.0097704261     0.81627081      0.8118436     0.10330626     0.66053541    0.040713616     0.41489285     0.89381661
2682             17   -0.029217415     0.85073782      0.8495638 2.3358257e-005     0.44034078     0.99923207     0.99913191      4.3231275     0.98636913     0.98523322     0.84955643     0.99923207     0.99916808  0.00046195097      0.9981539      4.5966235      1.1888582     0.99872493
2688             21   0.0022188686     0.22417905     0.19339244      1.3529934      2.0219988     0.99952321     0.99947553      2.2181269     0.98680531     0.98595403     0.29904199     0.99540743     0.99511113    0.032553474     0.87786722      1.5857668      1.1946809     0.99883343
2760             20    0.043585307     0.53082784      0.2823711 5.5027825e-005       0.228586     0.94557326     0.93974183       2.309507     0.91594483     0.91014792     0.28238099     0.94557326     0.94181969    0.013451024     0.94761466     0.69644175     0.61912612      0.9493549
2838             21    0.024978921     0.02925691    -0.01181255 3.8585213e-007    0.038133926      0.5217927     0.47397197 7.6700434e-007     0.11187282    0.054574291   -0.011816887      0.5217926     0.49094051    0.079984786     0.72569602    0.012585447    -0.15335733     0.24777732
2941             21  -0.0022096413     0.73200018     0.21024898      4.7112449      10.604821     0.99981132     0.99979245      5.0840269     0.99924648     0.99919786      1.3893404      0.9805514     0.97929665   0.0032539661     0.98706843       18.57361      1.7809158     0.99978668
2954             22     0.02253218     0.37402123     0.14441842       3.173461      3.5451423     0.99952865     0.99948446      3.5115507     0.99835515     0.99825546     0.74355377      0.9778397     0.97649665    0.026970095     0.89771148      6.2206495       1.504218     0.99632732
2990             30    0.028626465    0.024824214   -0.010572828     0.36281324    0.068972506     0.28784808     0.24037128     0.17459441     0.19504233     0.16004417   0.0024208727     0.13954466     0.10213356     0.18684958     0.46940793    0.028418679    0.037002008    0.096388822
3078             36     0.02277324     0.15990421    0.043732573  1.932116e-005    0.057845746     0.91140438      0.9065719     0.64961711     0.85253578      0.8472692    0.043725981     0.91140434     0.90824021     0.75626659    0.019259688      0.1283839      0.4515429     0.91446918
3148             40    0.010369233              0   0.0011728075  0.00032429768    0.052766239     0.21892036     0.18112618    0.091978685     0.21133596     0.18629901   0.0011578535     0.21888938     0.19409222     0.73120789    0.024106523    0.012658678    0.059631597     0.16102472
3219             21     0.01458405     0.54277382    0.026372668      4.7095142      6.4414189     0.99988752     0.99987627      4.7552909     0.99987852     0.99987068      1.2563133     0.97844323     0.97705247   0.0010950491     0.99562938      18.612774      1.8597642     0.99949325
3263             18    0.025330232      0.3273022     0.19370825 2.3092702e-005      1.6706644     0.95529867     0.94993451      1.8385512     0.88774788      0.8791131     0.19371192     0.95529866      0.9518601    0.018648967     0.92811047     0.47941334     0.63389899     0.97301343
3264             17     0.02093706     0.40421693     0.19156811 2.2872375e-005     0.20687767     0.87825182     0.86237162      1.7971663      0.8054017     0.78918517     0.19157754     0.87825182     0.86810613     0.03209191     0.87949119     0.48066525     0.65605978     0.90017842
3299             19  -0.0044656803      0.6177304     0.61105422 5.0563917e-005      2.1301206     0.99832649     0.99814054      3.3593696     0.97897255     0.97747058     0.61104925     0.99832649     0.99820695   0.0063546727     0.97490131      2.5251237      1.0255111     0.99825323
3353             23  -0.0046113724     0.67702806     0.19930567      4.7386958      6.4347569     0.99955181     0.99951107      5.0352212     0.99936262     0.99932513      1.6696732     0.98873711     0.98807459   0.0033848624     0.98655175      19.400145      1.7992114      0.9996096
3448             29    0.015768145    0.077543657    0.026333616 5.0555785e-006     0.23249569     0.90223302     0.89541207     0.55757571     0.83428959      0.8267573     0.02632467     0.90223294     0.89778898     0.13354821     0.58426359    0.072649434     0.39164928     0.93203108
3501             25    0.036717499     0.24149492    0.091084486 3.1671646e-005      1.0629891     0.90599177     0.89836948       1.113703     0.86470087     0.85757987    0.091087013     0.90599176     0.90104396    0.063878395     0.77424883     0.23231555     0.45445516     0.91442582
3572             17    0.017467076     0.36447388      0.2714737 4.1538684e-005     0.35753039      0.9777094     0.97480194      2.3009177     0.86835321     0.85738265     0.27147052      0.9777094     0.97585185      0.6390328    0.048502061     0.77076417     0.77344012     0.98985376
3671             28    0.027799212     0.37921418     0.16939962      3.0083642      3.8434958     0.99980288      0.9997888      3.3907204     0.99888033     0.99882825     0.71440992     0.98881936     0.98829933   0.0017266028     0.99311738      5.7752637      1.4551336     0.99703254
3812             17     0.01505431     0.20200464     0.12143151 2.5602431e-005     0.73468972     0.94491547     0.93773053      1.4991785     0.84000845     0.82667583     0.12143778     0.94491547     0.94032509     0.01911368     0.92638623     0.30751386     0.65702396     0.96962527
3835             24  -0.0046139065     0.45565164     0.18854247      3.1933475      4.3730241     0.99998132     0.99997972      3.6872016     0.99934804     0.99931183     0.67467198     0.99508142     0.99480817   0.0010377432     0.99585763      7.9940607      1.6516526     0.99989141
3959             22    0.057143359     0.33749134    0.058755757 2.5443184e-005    0.058262827     0.54266413     0.49978889     0.79809094     0.41185117     0.37620579    0.058747118     0.54266413      0.5149468    0.013348556     0.94800321     0.17377713     0.29221667     0.67982888
4122             18   0.0091511308     0.21157555    0.012998869      2.8584859      1.7982547      0.9999372     0.99992967       2.902358     0.99991676     0.99991036     0.39441977     0.98054296     0.97904627   0.0016618444     0.99337466       5.498507      1.7307719     0.99869836
4125             27  -0.0093508916     0.43736051     0.20579319      3.2206826      4.4001046     0.99983324     0.99982074      3.6426019      0.9989642     0.99891367     0.86485876     0.98986164     0.98936709    0.012090382     0.95278702      9.1217166      1.7105735       0.999931
4211             28   0.0080371337     0.59790639     0.32311132  8.269455e-006      1.9240541     0.97180216     0.96978803       1.878082     0.93861827     0.93576331     0.32310579     0.97180216     0.97049064    0.086630737     0.70652708      1.0307822     0.83493736     0.97585566
4288             26  -0.0089250836     0.47145343     0.24615844      3.0862549      5.1379232     0.99992802     0.99992234      3.6440042      0.9990165     0.99896607     0.78693032     0.99484772      0.9945835    0.013653499     0.94684735      8.0159774       1.629522     0.99997451
4290             22     0.02511669     0.13224317    0.077596328     0.61631573     0.10926346     0.95613365     0.95202118      1.2490996     0.92834138     0.92399843     0.10075155     0.95346553     0.95064526    0.046572927      0.8299195     0.26807928     0.60300667     0.93464843
4445             27    0.022511723     0.17929162     0.14540405      1.2343463      1.3349832     0.99805689     0.99791115      1.8535645     0.98374907     0.98295634     0.24928466     0.98991481     0.98942285    0.027924182     0.89428946      1.1121179      1.0501801     0.99047978
4534             21  -0.0067574537     0.97559424      0.3572827      4.9761573      8.4588552     0.99998488     0.99998337      5.6204974     0.99946249     0.99942781      1.4772417     0.99404709     0.99366303    0.001292142     0.99484476      19.098404      1.6821566     0.99989857
4549             25    0.001667669              0 -0.00070437168    0.084036545   0.0028117644     0.15974744    0.091618853 1.7349902e-005    0.069449489    0.020473146  0.00072032629      -1.568718     -1.7039137      0.4862995     0.11945582   0.0012660266   -0.064687108      0.1614171
4676             25  -0.0034354866     0.59550051    0.085363965      4.5560915      9.9062874     0.99998223     0.99998079      4.6974906     0.99995136      0.9999488      1.3096501     0.99295469     0.99258388  0.00010193526     0.99959234        19.5248      1.9108463     0.99998301
4685             18    0.018369141    0.039560199    0.017714435     0.37766547     0.75810155      0.7653055     0.73714216     0.67281477     0.75201043     0.73293431    0.025449766     0.76263121     0.74437207     0.04569217     0.83285474    0.059564587     0.31287959     0.74089009
4934             17   0.0011152479     0.11992305     0.10786855     0.64728686     0.55123119      0.9986991     0.99852942      1.6114652     0.98543853     0.98422507      0.1266624      0.9982546     0.99810915   0.0027805317     0.98893947     0.55165512      1.0456457     0.99854858
5028             34 -0.00075074268     0.47709559    0.038186119      4.2710005      10.134316     0.99999605     0.99999582      4.3267105     0.99998952     0.99998913      1.3240025     0.99162698     0.99131102  0.00011997852      0.9995202      17.719388      1.9524593     0.99999686
5044             18   -0.017074136     0.86681596     0.85081502  1.260103e-005     0.74307431     0.99076614     0.98965808      4.1489373     0.95139617     0.94765742     0.85081008     0.99076614     0.99005585    0.019388919     0.92536651      3.5530705      1.0473206     0.98959124
5063             17   0.0015384509     0.13977808     0.10953252 4.8138641e-005      0.6529386     0.99283749     0.99190325      1.4863184     0.95999663     0.95666302     0.10953806     0.99283749     0.99224062    0.070496545     0.75393079     0.38282553     0.92050803     0.99377472
5125             22   0.0086378844     0.58776864     0.15592295      4.0644647      4.3113068     0.99997729     0.99997516      4.4214913     0.99960286      0.9995788     0.90350294     0.99019101     0.98959652   0.0004398791     0.99824203      11.715928      1.6762126       0.999474
5209             28   0.0041322366     0.46130121     0.35332312 6.4831048e-006      1.2713049     0.99483548     0.99446658      2.2130766     0.95923141      0.9573352      0.3533335     0.99483548     0.99459526    0.022057372     0.91553764      1.2730572     0.92899911     0.99547322
5353             29  -0.0083356426     0.18817716     0.14877711      1.2224657      2.5239553     0.99990859     0.99990222      1.9124387     0.99883671     0.99878383     0.23350636     0.99948695     0.99946363  8.553828e-006     0.99996579       1.885016      1.4939424     0.99983829
5418             18   -0.012262605     0.35037669     0.32897806  4.098273e-005      1.3823628     0.99799821     0.99775799      2.5416658     0.98762166     0.98666948     0.32897028     0.99799821     0.99784422    0.081387073     0.72161036      1.7086795      1.1822987      0.9970146
5510             48    0.016535783     0.12468435     0.06198645 2.8872382e-005    0.066617351     0.98832039      0.9878532     0.69195035      0.9350466      0.9333373    0.061982771     0.98832035     0.98801299   0.0082499574       0.967538     0.21181631     0.66691292     0.98806731
5542             45   0.0054764949              0  0.00075543959 1.8976794e-005   0.0023869436     0.33666654     0.30823797    0.060780669     0.24617133     0.22493672  0.00076388393     0.33656459     0.31787627     0.50877046     0.10600409   0.0075247586     0.11197068     0.41650068
5544             22    0.013729213     0.52111866     0.27718502      3.0992685      2.6591518     0.99933319     0.99927068      3.7829631     0.99785804     0.99772822     0.80279932     0.99362369     0.99323725   0.0011190607     0.99553376      5.3511613      1.3300383     0.99771666
5578             20   0.0069798033     0.39089202     0.19255926      2.6648634      0.5684912     0.99945245     0.99939379      3.2867903     0.99323133     0.99276453     0.53139482     0.97844939     0.97696314    0.011905027      0.9534938      4.8100379      1.4885838     0.99723004
5698             18   0.0073224132      0.6827956     0.61420773 3.3007892e-005      2.7947552     0.99750088     0.99720099      3.5116787     0.97498513     0.97306091     0.61420439     0.99750088     0.99730864    0.031730102     0.88076624      2.1519571     0.92576336     0.99809049
5711             26   -0.015046461     0.43420957     0.31535072      2.4663284      1.9143064     0.99947784     0.99943661      3.4436108     0.99762563     0.99750387     0.58094751     0.99783482     0.99772378   0.0070279539     0.97227919       5.592301      1.5117949     0.99964679
5783             45   0.0013948134    0.043547434    0.063451071 3.3500708e-005     0.17835208     0.99475344     0.99452858     0.66729892     0.93457346     0.93273046    0.063442781     0.99475338     0.99460558     0.20468354     0.43584694     0.25101771     0.97127186     0.99475124
5803             18    0.036165275     0.39945232     0.28085883 3.3602092e-005     0.53006177     0.97933264     0.97685256      2.1955397     0.92138804     0.91534096     0.28085127     0.97933264     0.97774285    0.060411128     0.78510398     0.71858171     0.64940248     0.99187521
5819             18    0.075875669     0.50793075     0.16358957 4.6711541e-005     0.46107326     0.75353751     0.72396201      1.6417695     0.67781351     0.65302993     0.16359299      0.7535375     0.73457885     0.34801493     0.23392999     0.37161106     0.38532727     0.79412944
5857             23    0.010614004     0.64164987     0.14586545      4.1436353      8.1950687      0.9997632     0.99974167       4.413973     0.99920004     0.99915298       1.135338      0.9714171     0.96973575    0.002640605     0.98949314       14.31704      1.7747846     0.99893411
5869             34   -0.002599394     0.62867374     0.45721211      2.4502914      3.0709827     0.99958247     0.99955838      3.3865207      0.9946979     0.99449782     0.92096179     0.99413902     0.99391785    0.033243888     0.87544358      5.6675745      1.3691707     0.99900739
5962             18    0.011397007     0.36118838    0.049876036      3.4181167      3.9805683     0.99898958     0.99886833      3.5493398     0.99876994     0.99867532      0.6413763     0.96568542     0.96304584   0.0020527621     0.99182256      8.5901257      1.7488659     0.99725668
5965             18    0.016704968    0.029105283  -0.0088653244     0.67512116   0.0053584017     0.75815905     0.72913813     0.55503431     0.74719621     0.72774976    0.016815335     0.66011771     0.63397292    0.011677222     0.95436316    0.039513346     0.28684985     0.56424535
6081             19   -0.027137273     0.64133516     0.58811301     0.95986408      2.6064046     0.99807834     0.99786482      3.7222915     0.98997876     0.98926295     0.62440696     0.99804273     0.99790293     0.12102747     0.61477769      4.1127543      1.2983849     0.99764866
6105             19    0.029081963     0.22740742    0.055125742      2.3246897     0.33161883     0.99757244     0.99730271      2.5435937     0.99663303     0.99639253     0.31168176      0.9754204     0.97366471    0.012369752     0.95172274      1.8219884      1.1982604     0.98230949
6145             17   -0.020168838     0.61952746      0.5073005      1.4108633      1.5743634     0.99935692     0.99927304      3.6761061     0.99033296     0.98952737     0.58665771     0.99911303     0.99903912  0.00022117706     0.99911568      3.7903297      1.2839951     0.99898461
6180             25  -0.0099148298     0.83320704     0.55192272      2.6896498      2.1087954     0.99972088     0.99969824      4.0570423     0.99476738     0.99449198     0.93164611      0.9970484     0.99689305   0.0041359457     0.98359222      6.2316638      1.3327362     0.99946227
6368             30    0.019854656     0.20045241     0.18091406 1.1979309e-005     0.37723568     0.99418807     0.99380061      1.4678986     0.92444717     0.92116227     0.18090834     0.99418807     0.99393538     0.12023718     0.61675296     0.58864389     0.77968255     0.99441676
6472             22  -0.0082827691     0.37321658     0.24673062      2.2596851      1.9837988     0.99959536     0.99955743      3.1225266     0.99789421     0.99776659     0.47559283     0.99786031     0.99773063   0.0049126296     0.98054114       4.181674      1.4616809     0.99975245
6527             38  -0.0026402182     0.53727965     0.16648854      3.9561098      11.866042     0.99993014     0.99992653      4.1562447      0.9997966      0.9997897      1.5969861     0.98887096     0.98849371    0.000422192     0.99831266      14.997644      1.8422923     0.99988996
6537             76   0.0094221689   0.0030436131  -0.0010787364     0.10146046   0.0032466465     0.76293117     0.75710161    0.076119518     0.73355128     0.72921878   0.0012203886     0.61931872     0.61312878     0.58042493    0.070480926    0.011633473     0.13320868      0.4601371
6624             31    0.040600612     0.80673329     0.49345832  5.864972e-006      0.5907358     0.98755452     0.98676013      2.4009902     0.96067056     0.95903183     0.49347045     0.98755452     0.98703596   0.0099091223     0.96113751      1.5930815     0.77712889     0.99055608
6630             17    0.074583784     0.30539234    0.075082567 2.3809305e-005      1.4859729     0.41751379     0.34153733      1.0206751       0.260557     0.19893675     0.07508886     0.41751379     0.36897327    0.045021573      0.8350964     0.19724709     0.25200577     0.57439947
6675             20    0.017925576     0.41299187     0.21506323      1.9174665      1.9461544     0.98766931     0.98634816      2.7015156     0.97514381     0.97342959     0.41714209     0.97572147     0.97404709    0.024500597     0.90662895      2.2128807      1.1706422     0.98092274
6699             30    0.011539027     0.17654516      0.1466989      1.6611745       1.548961     0.99836447     0.99825543      2.1761081     0.99527797     0.99507266      0.3189312     0.99330546     0.99301439  0.00026786326     0.99892912      1.9449301      1.2671806     0.99712414
6944             25   -0.017806687      1.6715398     0.89719625      5.6401855      7.8481806     0.99996896     0.99996645      6.9511061     0.99925964     0.99922067      2.3291028     0.99778689     0.99767041   0.0015341677     0.99388212       23.54148      1.5321793     0.99993573
6989             18  -0.0012849226     0.66248362     0.16880737      4.7186266      6.4432575     0.99907011     0.99895852      5.0455468     0.99873006     0.99863237      1.2594306     0.98374141     0.98249075   0.0016666156      0.9933557      17.781373      1.7755251     0.99917399
6998             22   -0.035259055     0.56379125     0.58029223 2.7305513e-005    0.021239658     0.99320363     0.99256647      3.1487855     0.97809999     0.97677272     0.58029957     0.99320363     0.99279172   0.0078210837     0.96919934       3.229167      1.2478052     0.99165501
7065             18    0.041225453     0.08669652    0.030500111 3.7771346e-006   0.0047676511     0.51541426     0.45726397     0.66882755     0.40336971     0.35747508    0.030491357      0.5154142     0.47813837    0.083457422     0.71561855    0.091323854     0.21506039     0.62634114
7078             22   0.0060172474              0  -0.0023277338 2.9449779e-005   0.0020594799      0.4258558     0.37202978 3.6308167e-005     0.15316103     0.10183746  -0.0023365803      0.4258515     0.39105462     0.24709244     0.36449034   0.0030844419    -0.18998466     0.37311449
7088             17    0.037120385     0.55452564     0.23487679      1.5920515     0.81495164     0.95459645     0.94867424      2.7260272      0.9419153     0.93707491     0.35026224     0.95137257     0.94732029    0.041982231     0.84533043      1.0441185     0.78648686     0.94833232
